RATIO,COMPARE,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
0.23,AC,-95.0,-95.00000000000013,-95.00000000000013,24.61,39.990388495237205,10.0,40.13410244582031,24.61
0.23,AC,-94.0,-94.00000000000009,-94.00000000000009,25.990000000000002,42.446924788493206,10.0,42.43804385241619,25.990000000000002
0.23,AC,-78.0,-78.00000000000007,-78.00000000000009,23.92,39.72385735394944,10.0,39.223505991479534,23.92
0.23,AC,-99.0,-91.00000000000009,-99.00000000000009,27.6,43.07790703055724,10.0,44.57562580035566,27.6
0.23,WA,-95.0,-90.99999999999987,-90.99999999999986,26.450000000000003,42.83876632210596,10.0,43.099563977956905,26.450000000000003
0.23,AC,-95.0,-95.00000000000009,-95.00000000000009,25.990000000000002,41.79935975586229,10.0,42.27704848992654,25.990000000000002
0.23,AC,-106.0,-106.00000000000009,-106.00000000000009,27.6,43.17989597640704,10.0,44.600288688452835,27.6
0.23,AC,-82.0,-81.99999999999997,-81.99999999999997,22.540000000000003,38.85482955428202,10.0,37.32587281975703,22.540000000000003
0.23,WA,-109.0,-107.00000000000006,-99.00000000000004,27.37,43.23850775716788,10.0,44.33027714394606,27.37
0.23,AC,-113.0,-113.00000000000013,-113.00000000000013,26.91,42.91670531622855,10.0,43.68431884953227,26.91
0.23,AC,-85.0,-85.0,-85.0,23.46,39.54924614666164,10.0,38.61925029368006,23.46
0.23,AC,-94.0,-93.99999999999997,-93.99999999999997,25.53,40.55423558643412,10.0,41.404463893841196,25.53
0.23,AC,-91.0,-88.99999999999991,-90.99999999999991,25.07,39.84011541147942,10.0,40.662499702310484,25.07
0.23,WA,-96.0,-95.9999999999999,-93.9999999999999,25.76,41.432164799826715,10.0,41.90358539707074,25.76
0.23,AC,-88.0,-88.0,-88.0,23.0,39.81667023129498,10.0,38.131644222049,23.0
RATIO,COMPARE,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
0.25,AC,-104.0,-104.0,-104.0,28.0,40.715904902138675,10.0,44.51935188207483,28.0
0.25,AC,-84.0,-78.0,-84.0,27.0,40.861344320669474,10.0,43.30094743678337,27.0
0.25,AC,-115.0,-115.0,-115.0,29.0,42.41057228569309,10.0,46.16444732042181,29.0
0.25,AC,-97.0,-97.0,-97.0,28.75,42.26147044294601,10.0,45.81630416402003,28.75
0.25,AC,-102.0,-102.0,-102.0,29.0,42.16155045852401,10.0,46.10738682973333,29.0
0.25,AC,-102.0,-102.0,-102.0,29.75,43.22925854865737,10.0,47.294636280625596,29.75
